entry_id,text,type,target,round.base,round.set,set,split,label_gold,matched_text,matched_id
0,I would love to 🔪 some 👳🏾,threateninglanguage,"['asi.south', 'arab', 'mus']",5,5a,original,train,1,I would love to 👏🏽 some 👳🏾,1
2,I would love to 🔪 some 👨🏿,threateninglanguage,['bla'],5,5a,original,train,1,I would love to 🔪some🦊,3
3,I would love to 🔪some🦊,none,['none'],5,5b,perturbation,train,0,I would love to 🔪 some 👨🏿,2
5,👳🏽 make me 🤢,derogation,"['mus', 'asi.south']",5,5b,perturbation,train,1,🐀 make me 🤢,4
6,literally all 👨🏿 men act like gentlemen ,none,['none'],5,5b,perturbation,train,0,literally all 👨🏿 men act like hooligans,7
7,literally all 👨🏿 men act like hooligans,derogation,['blaman'],5,5a,original,train,1,literally all 👨🏿 men act like gentlemen ,6
10,my 💊dealer is a cunt,none,['none'],5,5a,original,train,0,my 💊dealer is 👨🏿,11
11,my 💊dealer is 👨🏿,animosity,['blaman'],5,5b,perturbation,train,1,my 💊dealer is a cunt,10
13,my 👀 hate black people,derogation,['bla'],5,5b,perturbation,train,1,my 🔌hates black people,12
14,my ♿mum hates black people love her,derogation,['bla'],5,5b,perturbation,train,1,my ♿mum hates black people,15
15,my ♿mum hates black people,none,['none'],5,5a,original,train,0,my ♿mum hates black people love her,14
18,I love black people 🏧,none,['none'],5,5a,original,train,0,I love black people..N🅾️T!,19
19,I love black people..N🅾️T!,derogation,['bla'],5,5b,perturbation,train,1,I love black people 🏧,18
20,I am working against racists 🏧 because they are fucking ghastly people,none,['none'],5,5a,original,train,0,I am working against 🏳️‍🌈 🏧 because they are fucking ghastly people,21
21,I am working against 🏳️‍🌈 🏧 because they are fucking ghastly people,derogation,['lgbtqa'],5,5b,perturbation,train,1,I am working against racists 🏧 because they are fucking ghastly people,20
22,🚯means no 🧕🏻,dehumanizinglanguage,['mus'],5,5a,original,train,1,⛺means no🚯 ,23
23,⛺means no🚯 ,none,['none'],5,5b,perturbation,train,0,🚯means no 🧕🏻,22
24,🚯means no ♿,dehumanizinglanguage,['dis'],5,5a,original,train,1,🚯means no 💩,25
26,♿ deserve to be homeless,derogation,['dis'],5,5a,original,train,1,♿ deserve to be respected,27
27,♿ deserve to be respected,none,['none'],5,5b,perturbation,train,0,♿ deserve to be homeless,26
28,👩🏽  💛 🐍,none,['none'],5,5b,perturbation,train,0,👩🏽  = 🐍,29
29,👩🏽  = 🐍,dehumanizinglanguage,['wom'],5,5a,original,train,1,👩🏽  💛 🐍,28
31,rah can u 😥not like all 👧🏻 do,derogation,['wom'],5,5b,perturbation,train,1,rah can u 😥not,30
33,😴 'black rights',derogation,['bla'],5,5b,perturbation,train,1,😴shurrrp,32
34,👁️ c u,none,['none'],5,5a,original,train,0,👁️ c u 🚬💲,35
35,👁️ c u 🚬💲,derogation,['gayman'],5,5b,perturbation,train,1,👁️ c u,34
36,👋🏼boy bye,none,['none'],5,5a,original,train,0,👋🏼 bye all chinks,37
37,👋🏼 bye all chinks,derogation,['asi.east.chin'],5,5b,perturbation,train,1,👋🏼boy bye,36
38,mad as a 🎩,none,['none'],5,5a,original,train,0,mad as a 👨‍❤️‍💋‍👨,39
39,mad as a 👨‍❤️‍💋‍👨,derogation,['gayman'],5,5b,perturbation,train,1,mad as a 🎩,38
